year,Asia,Africa,Europe,Latin America/Caribbean,Northern America,Oceania
2010,"4,165","1,031",740,596,347,37
2015,"4,385","1,166",743,630,361,39
2020,"4,582","1,312",744,662,376,42
2025,"4,749","1,468",741,691,390,45
2030,"4,887","1,634",736,717,403,47
2035,"4,997","1,812",730,739,415,50
2040,"5,080","1,999",724,757,426,52
2045,"5,136","2,194",717,771,436,55
2050,"5,164","2,393",709,782,446,57
2055,"5,168","2,595",700,788,456,59
2060,"5,152","2,797",691,791,465,61
2065,"5,120","2,998",681,791,474,63
2070,"5,075","3,195",673,788,482,64
2075,"5,019","3,387",665,783,490,66
2080,"4,957","3,570",659,776,496,67
2085,"4,894","3,742",653,767,502,68
2090,"4,833","3,903",649,757,506,69
2095,"4,773","4,051",644,747,510,69
2100,"4,712","4,185",639,736,513,70
